uid,n_elements
ruid_001,0
ruid_002,3
ruid_003,7
ruid_004,0
ruid_005,2
ruid_006,0
ruid_007,0
ruid_008,1
ruid_009,1
ruid_010,0
ruid_011,4
ruid_012,0
ruid_013,0
ruid_014,0
ruid_015,7
ruid_016,0
ruid_017,0
ruid_018,4
ruid_019,0
ruid_020,3
ruid_021,3
ruid_022,3
ruid_023,7
ruid_024,0
ruid_025,0
ruid_026,3
ruid_027,0
ruid_028,5
ruid_029,10
ruid_030,2
ruid_031,1
ruid_032,3
ruid_033,2
ruid_034,1
ruid_035,0
ruid_036,2
ruid_037,0
ruid_038,0
ruid_039,5
ruid_040,0
ruid_041,2
ruid_042,24
ruid_043,1
ruid_044,0
ruid_045,0
ruid_046,1
ruid_047,0
ruid_048,2
ruid_049,0
ruid_050,0
ruid_051,4
ruid_052,0
ruid_053,2
ruid_054,3
ruid_055,0
ruid_056,6
ruid_057,3
ruid_058,3
ruid_059,0
ruid_060,3
ruid_061,0
ruid_062,5
ruid_063,12
ruid_064,0
ruid_065,13
ruid_066,4
ruid_067,2
ruid_068,0
ruid_069,0
ruid_070,3
ruid_071,0
ruid_072,5
ruid_073,0
ruid_074,0
ruid_075,2
ruid_076,0
ruid_077,0
ruid_078,0
ruid_079,0
ruid_080,5
ruid_081,1
ruid_082,0
ruid_083,1
ruid_084,1
ruid_085,0
ruid_086,10
ruid_087,2
ruid_088,0
ruid_089,0
ruid_090,3
ruid_091,6
ruid_092,0
ruid_093,0
ruid_094,0
ruid_095,0
ruid_096,2
ruid_097,0
ruid_098,2
ruid_099,0
ruid_100,0
ruid_101,10
ruid_102,0
ruid_103,1
ruid_104,0
ruid_105,0
ruid_106,20
ruid_107,6
ruid_108,2
ruid_109,0
ruid_110,0
ruid_111,2
ruid_112,3
ruid_113,2
ruid_114,0
ruid_115,0
ruid_116,0
ruid_117,0
ruid_118,0
ruid_119,90
ruid_120,0
ruid_121,0
ruid_122,0
ruid_123,0
ruid_124,0
ruid_125,0
ruid_126,0
ruid_127,0
ruid_128,0
ruid_129,0
ruid_130,0
ruid_131,2
ruid_132,1
ruid_133,0
ruid_134,2
ruid_135,4
ruid_136,0
ruid_137,0
ruid_138,3
ruid_139,12
ruid_140,0
ruid_141,1
ruid_142,2
ruid_143,115
ruid_144,0
ruid_145,3
ruid_146,0
ruid_147,1
ruid_148,11
ruid_149,0
ruid_150,1
ruid_151,10
ruid_152,0
ruid_153,2
ruid_154,0
ruid_155,2
ruid_156,1
ruid_157,0
ruid_158,4
ruid_159,0
ruid_160,0
ruid_161,0
ruid_162,0
ruid_163,0
ruid_164,1
ruid_165,15
ruid_166,0
ruid_167,0
ruid_168,0
ruid_169,15
ruid_170,1
ruid_171,1
ruid_172,10
ruid_173,7
ruid_174,20
ruid_175,5
ruid_176,22
ruid_177,0
ruid_178,0
ruid_179,8
ruid_180,1
ruid_181,40
ruid_182,6
ruid_183,0
ruid_184,0
ruid_185,0
ruid_186,0
ruid_187,4
ruid_188,1
ruid_189,0
ruid_190,2
ruid_191,0
ruid_192,0
ruid_193,2
ruid_194,5
ruid_195,0
ruid_196,3
ruid_197,5
ruid_198,0
ruid_199,0
ruid_200,4
ruid_201,4
ruid_202,6
ruid_203,9
ruid_204,1
ruid_205,1
ruid_206,0
ruid_207,0
ruid_208,0
ruid_209,0
ruid_210,15
ruid_211,12
ruid_212,4
ruid_213,0
ruid_214,10
ruid_215,0
ruid_216,5
ruid_217,0
ruid_218,0
ruid_219,0
ruid_220,23
ruid_221,6